tienda,fecha,conteo
8,20221010,82
8,20221011,83
8,20221012,89
8,20221013,324
8,20221014,344
8,20221015,89
8,20221016,76
8,20221017,240
8,20221018,134
8,20221019,75
8,20221020,122
8,20221021,330
8,20221022,94
8,20221023,309
8,20221024,247
8,20221025,87
8,20221026,317
8,20221027,135
8,20221028,250
8,20221029,350
8,20221030,106
8,20221031,221
9,20221001,168
9,20221002,259
9,20221003,161
9,20221004,169
9,20221005,271
9,20221006,340
9,20221007,297
9,20221008,123
9,20221009,110
9,20221010,301
9,20221011,99
9,20221012,183
9,20221013,287
9,20221014,284
9,20221015,229
9,20221016,101
9,20221017,97
9,20221018,117
9,20221019,182
9,20221020,316
9,20221021,201
9,20221022,253
9,20221023,328
9,20221024,251
9,20221025,106
9,20221026,289
9,20221027,197
9,20221028,132
9,20221029,249
9,20221030,350
9,20221031,202
8,20221101,101
8,20221102,366
8,20221103,278
8,20221104,160
8,20221105,279
8,20221106,313
8,20221107,204
8,20221108,311
8,20221109,431
8,20221110,225
8,20221111,441
8,20221112,366
8,20221113,277
8,20221114,353
8,20221115,268
8,20221116,109
8,20221117,206
8,20221118,196
8,20221119,266
8,20221120,346
8,20221121,186
8,20221122,171
8,20221123,212
8,20221124,335
8,20221125,294
8,20221126,325
8,20221127,132
8,20221128,421
8,20221129,152
8,20221130,93
9,20221101,426
9,20221102,251
9,20221103,199
9,20221104,407
9,20221105,274
9,20221106,340
9,20221107,136
9,20221108,373
9,20221109,230
9,20221110,172
9,20221111,167
9,20221112,179
9,20221113,120
9,20221114,258
9,20221115,434
9,20221116,290
9,20221117,107
9,20221118,410
9,20221119,333
9,20221120,395
9,20221121,437
9,20221122,106
9,20221123,259
9,20221124,295
9,20221125,146
9,20221126,435
9,20221127,146
9,20221128,403
9,20221129,290
9,20221130,250
5,20221010,133
5,20221011,68
5,20221012,107
5,20221013,121
5,20221014,120
5,20221015,67
5,20221016,129
5,20221017,115
5,20221018,144
5,20221019,67
5,20221020,60
5,20221021,99
5,20221022,137
5,20221023,89
5,20221024,78
5,20221025,135
5,20221026,66
5,20221027,105
5,20221028,92
5,20221029,112
5,20221030,147
5,20221031,62
5,20221101,78
5,20221102,87
5,20221103,180
5,20221104,219
5,20221105,206
5,20221106,112
5,20221107,162
5,20221108,249
5,20221109,162
5,20221110,120
5,20221111,166
5,20221112,123
5,20221113,197
5,20221114,217
5,20221115,107
5,20221116,159
5,20221117,224
5,20221118,237
5,20221119,240
5,20221120,234
5,20221121,248
5,20221122,132
5,20221123,214
5,20221124,90
5,20221125,82
5,20221126,123
5,20221127,122
5,20221128,175
5,20221129,235
5,20221130,132
