tienda,fecha,conteo
1,2022-10-3,167
1,2022-10-4,100
1,2022-10-5,182
1,2022-10-6,109
1,2022-10-7,78
1,2022-10-8,113
1,2022-10-9,121
1,2022-10-10,143
1,2022-10-11,97
1,2022-10-12,142
1,2022-10-13,93
1,2022-10-14,171
1,2022-10-15,167
1,2022-10-16,96
1,2022-10-17,175
1,2022-10-18,123
1,2022-10-19,197
1,2022-10-20,56
1,2022-10-21,194
1,2022-10-22,112
1,2022-10-23,123
1,2022-10-24,200
1,2022-10-25,158
1,2022-10-26,195
1,2022-10-27,90
1,2022-10-28,187
1,2022-10-29,119
1,2022-10-30,135
2,2022-10-3,51
2,2022-10-4,155
2,2022-10-5,146
2,2022-10-6,100
2,2022-10-7,104
2,2022-10-8,68
2,2022-10-9,64
2,2022-10-10,150
2,2022-10-11,177
2,2022-10-12,125
2,2022-10-13,115
2,2022-10-14,189
2,2022-10-15,156
2,2022-10-16,81
2,2022-10-17,141
2,2022-10-18,101
2,2022-10-19,67
2,2022-10-20,170
2,2022-10-21,149
2,2022-10-22,62
2,2022-10-23,138
2,2022-10-24,54
2,2022-10-25,75
2,2022-10-26,94
2,2022-10-27,147
2,2022-10-28,148
2,2022-10-29,179
2,2022-10-30,195
3,2022-10-3,136
3,2022-10-4,169
3,2022-10-5,115
3,2022-10-6,66
3,2022-10-7,195
3,2022-10-8,200
3,2022-10-9,158
3,2022-10-10,117
3,2022-10-11,165
3,2022-10-12,119
3,2022-10-13,182
3,2022-10-14,129
3,2022-10-15,147
3,2022-10-16,167
3,2022-10-17,114
3,2022-10-18,52
3,2022-10-19,87
3,2022-10-20,150
3,2022-10-21,162
3,2022-10-22,53
3,2022-10-23,98
3,2022-10-24,96
3,2022-10-25,140
3,2022-10-26,100
3,2022-10-27,104
3,2022-10-28,159
3,2022-10-29,87
3,2022-10-30,160
4,2022-10-3,168
4,2022-10-4,282
4,2022-10-5,331
4,2022-10-6,333
4,2022-10-7,266
4,2022-10-8,234
4,2022-10-9,370
4,2022-10-10,380
4,2022-10-11,192
4,2022-10-12,398
4,2022-10-13,375
4,2022-10-14,176
4,2022-10-15,246
4,2022-10-16,169
4,2022-10-17,153
4,2022-10-18,304
4,2022-10-19,217
4,2022-10-20,302
4,2022-10-21,242
4,2022-10-22,338
4,2022-10-23,357
4,2022-10-24,348
4,2022-10-25,182
4,2022-10-26,193
4,2022-10-27,316
4,2022-10-28,297
4,2022-10-29,175
4,2022-10-30,182
1,2022-11-1,253
1,2022-11-2,311
1,2022-11-3,258
1,2022-11-4,428
1,2022-11-5,186
1,2022-11-6,191
1,2022-11-7,291
1,2022-11-8,399
1,2022-11-9,273
1,2022-11-10,209
1,2022-11-11,451
1,2022-11-12,241
1,2022-11-13,237
1,2022-11-14,383
1,2022-11-15,284
1,2022-11-16,243
1,2022-11-17,252
1,2022-11-18,230
1,2022-11-19,235
1,2022-11-20,317
1,2022-11-21,465
1,2022-11-22,482
1,2022-11-23,375
1,2022-11-24,265
1,2022-11-25,338
1,2022-11-26,368
1,2022-11-27,375
1,2022-11-28,351
1,2022-11-29,304
1,2022-11-30,490
2,2022-11-1,373
2,2022-11-2,392
2,2022-11-3,259
2,2022-11-4,247
2,2022-11-5,431
2,2022-11-6,355
2,2022-11-7,227
2,2022-11-8,401
2,2022-11-9,321
2,2022-11-10,188
2,2022-11-11,306
2,2022-11-12,454
2,2022-11-13,169
2,2022-11-14,159
2,2022-11-15,420
2,2022-11-16,262
2,2022-11-17,228
2,2022-11-18,371
2,2022-11-19,267
2,2022-11-20,198
2,2022-11-21,363
2,2022-11-22,465
2,2022-11-23,179
2,2022-11-24,439
2,2022-11-25,408
2,2022-11-26,222
2,2022-11-27,282
2,2022-11-28,479
2,2022-11-29,336
2,2022-11-30,455
3,2022-11-1,284
3,2022-11-2,460
3,2022-11-3,476
3,2022-11-4,314
3,2022-11-5,324
3,2022-11-6,325
3,2022-11-7,155
3,2022-11-8,401
3,2022-11-9,175
3,2022-11-10,156
3,2022-11-11,443
3,2022-11-12,464
3,2022-11-13,329
3,2022-11-14,363
3,2022-11-15,441
3,2022-11-16,248
3,2022-11-17,432
3,2022-11-18,227
3,2022-11-19,385
3,2022-11-20,398
3,2022-11-21,309
3,2022-11-22,392
3,2022-11-23,175
3,2022-11-24,322
3,2022-11-25,456
3,2022-11-26,175
3,2022-11-27,197
3,2022-11-28,215
3,2022-11-29,199
3,2022-11-30,160
4,2022-11-1,360
4,2022-11-2,226
4,2022-11-3,274
4,2022-11-4,384
4,2022-11-5,289
4,2022-11-6,271
4,2022-11-7,347
4,2022-11-8,349
4,2022-11-9,431
4,2022-11-10,153
4,2022-11-11,398
4,2022-11-12,496
4,2022-11-13,356
4,2022-11-14,169
4,2022-11-15,468
4,2022-11-16,164
4,2022-11-17,336
4,2022-11-18,152
4,2022-11-19,410
4,2022-11-20,334
4,2022-11-21,409
4,2022-11-22,187
4,2022-11-23,258
4,2022-11-24,287
4,2022-11-25,280
4,2022-11-26,337
4,2022-11-27,217
4,2022-11-28,256
4,2022-11-29,310
4,2022-11-30,432
